True Values,Predicted Values,True Characters,Predicted Characters,Character Distance,Matching
-0.11,-0.008119337,K,L,1,0
0.04,0.07855355,M,M,0,1
-0.04,0.09424217,L,N,2,0
0.18,0.2674721,N,O,1,0
-0.46,-0.20574751,E,I,4,0
-0.3,-0.2970208,G,G,0,1
-0.3,-0.066009045,G,L,5,0
-0.11,-0.044120595,K,L,1,0
0.6,0.14459813,P,N,2,0
0.6,0.2580472,P,O,1,0
-0.39,-0.34943882,F,G,1,0
-0.26,-0.17212622,H,J,2,0
0.37,-0.1308318,O,J,5,0
-0.56,0.043258265,E,M,8,0
0.56,0.16286701,P,N,2,0
-0.19,0.12775919,I,N,5,0
-0.3,-0.1555689,G,J,3,0
0.09,-0.050209478,N,L,2,0
-0.4,-0.11672646,F,K,5,0
-0.14,-0.036114633,J,L,2,0
0.42,0.20132224,P,N,2,0
0.37,0.3224402,O,O,0,1
-0.32,-0.3217949,G,G,0,1
-0.09,-0.12273732,K,K,0,1
-0.05,-0.081426404,L,K,1,0
-0.02,0.05526816,L,M,1,0
0.39,0.14806294,P,N,2,0
0.46,0.08072372,P,M,3,0
0.09,-0.037383676,N,L,2,0
-0.35,-0.14117613,G,J,3,0
-0.55,-0.091168664,E,K,6,0
0.58,0.06486957,P,M,3,0
0.21,0.18119404,N,N,0,1
-0.18,-0.3243553,I,G,2,0
-0.25,-0.32764223,H,G,1,0
0.14,-0.14000928,N,J,4,0
0.16,-0.124504656,N,J,4,0
0.56,0.19508883,P,N,2,0
0.63,0.13609783,Q,N,3,0
-0.44,-0.1702799,F,J,4,0
-0.21,-0.16184293,I,J,1,0
-0.19,-0.15055993,I,J,1,0
0.16,-0.051102042,N,L,2,0
-0.25,0.13005042,H,N,6,0
0.58,0.11152719,P,N,2,0
-0.18,-0.2853393,I,G,2,0
-0.11,-0.17495954,K,I,2,0
-0.11,-0.035179354,K,L,1,0
0.04,0.07568298,M,M,0,1
-0.04,0.08378527,L,M,1,0
0.18,0.27214354,N,O,1,0
-0.46,-0.2145933,E,I,4,0
-0.3,-0.2935786,G,G,0,1
-0.3,-0.06225515,G,L,5,0
-0.11,-0.045640483,K,L,1,0
0.6,0.124517724,P,N,2,0
0.6,0.22771585,P,O,1,0
-0.39,-0.29550698,F,G,1,0
-0.26,-0.1754295,H,I,1,0
0.37,-0.107941985,O,K,4,0
-0.56,0.07278719,E,M,8,0
0.56,0.15143676,P,N,2,0
-0.19,0.1224889,I,N,5,0
-0.3,-0.15694962,G,J,3,0
0.09,-0.05815717,N,L,2,0
-0.4,-0.11643384,F,K,5,0
-0.14,-0.051656127,J,L,2,0
0.42,0.20543687,P,N,2,0
0.37,0.32796282,O,O,0,1
-0.32,-0.32534355,G,G,0,1
-0.09,-0.13923216,K,J,1,0
-0.05,-0.083791316,L,K,1,0
-0.02,0.042343333,L,M,1,0
0.39,0.13663691,P,N,2,0
0.46,0.060395464,P,M,3,0
0.09,-0.06695804,N,L,2,0
-0.35,-0.15194228,G,J,3,0
-0.55,-0.10564226,E,K,6,0
0.58,0.04009536,P,M,3,0
0.21,0.14725637,N,N,0,1
-0.51,0.21753946,E,O,10,0
-0.25,-0.343396,H,G,1,0
0.14,-0.14408728,N,J,4,0
0.16,-0.107503116,N,K,3,0
0.56,0.18937008,P,N,2,0
0.63,0.15147893,Q,N,3,0
-0.44,-0.16526622,F,J,4,0
-0.21,-0.16197935,I,J,1,0
-0.19,-0.14115828,I,J,1,0
0.16,-0.041823685,N,L,2,0
-0.25,0.11841236,H,N,6,0
0.58,0.10556779,P,N,2,0
-0.18,-0.27560678,I,H,1,0
-0.11,-0.17002675,K,J,1,0
-0.11,-0.056055862,K,L,1,0
0.04,0.06882009,M,M,0,1
-0.04,0.06658915,L,M,1,0
0.18,0.2721308,N,O,1,0
-0.46,-0.22348318,E,H,3,0
-0.3,-0.28169167,G,G,0,1
-0.3,-0.051415227,G,L,5,0
-0.11,-0.04021723,K,L,1,0
0.6,0.11222766,P,N,2,0
0.6,0.25831687,P,O,1,0
-0.39,-0.2396243,F,H,2,0
-0.26,-0.18846215,H,I,1,0
0.37,-0.09447453,O,K,4,0
-0.56,0.045898877,E,M,8,0
0.56,0.16487207,P,N,2,0
-0.19,0.12585689,I,N,5,0
-0.3,-0.15454283,G,J,3,0
0.09,-0.05831331,N,L,2,0
-0.4,-0.11366339,F,K,5,0
-0.14,-0.06418997,J,L,2,0
0.42,0.2088534,P,N,2,0
0.37,0.3265345,O,O,0,1
-0.32,-0.3210634,G,G,0,1
-0.09,-0.14131263,K,J,1,0
-0.05,-0.07554239,L,K,1,0
-0.02,0.050939344,L,M,1,0
0.39,0.15843582,P,N,2,0
0.46,0.07226124,P,M,3,0
0.09,-0.08626052,N,K,3,0
-0.35,-0.14072327,G,J,3,0
-0.55,-0.08673635,E,K,6,0
0.58,0.05238162,P,M,3,0
0.21,0.16353254,N,N,0,1
-0.51,0.2504194,E,O,10,0
0.49,-0.26212415,P,H,8,0
0.14,-0.14895059,N,J,4,0
0.16,-0.10739623,N,K,3,0
0.56,0.20342246,P,N,2,0
0.63,0.13827102,Q,N,3,0
-0.44,-0.14785492,F,J,4,0
-0.21,-0.17558414,I,I,0,1
-0.19,-0.12099056,I,K,2,0
0.16,-0.03842286,N,L,2,0
-0.25,0.11115451,H,N,6,0
0.58,0.122322105,P,N,2,0
-0.18,-0.25936097,I,H,1,0
-0.11,-0.1558071,K,J,1,0
-0.11,-0.057723403,K,L,1,0
0.04,0.05309807,M,M,0,1
-0.04,0.061894875,L,M,1,0
0.18,0.28419256,N,O,1,0
-0.46,-0.22440842,E,H,3,0
-0.3,-0.27855214,G,H,1,0
-0.3,-0.050143376,G,L,5,0
-0.11,-0.028366,K,L,1,0
0.6,0.12792097,P,N,2,0
0.6,0.2877671,P,O,1,0
-0.39,-0.25342852,F,H,2,0
-0.26,-0.19662525,H,I,1,0
0.37,-0.08733206,O,K,4,0
-0.56,0.042814743,E,M,8,0
0.56,0.18755567,P,N,2,0
-0.19,0.14107978,I,N,5,0
-0.3,-0.1614534,G,J,3,0
0.09,-0.061378323,N,L,2,0
-0.4,-0.109291956,F,K,5,0
-0.14,-0.076182924,J,K,1,0
0.42,0.20151752,P,N,2,0
0.37,0.32666227,O,O,0,1
-0.32,-0.31510296,G,G,0,1
-0.09,-0.13992363,K,J,1,0
-0.05,-0.07283811,L,K,1,0
-0.02,0.06003897,L,M,1,0
0.39,0.15024573,P,N,2,0
0.46,0.104097754,P,N,2,0
0.09,-0.086708546,N,K,3,0
-0.35,-0.1411081,G,J,3,0
-0.55,-0.066400744,E,L,7,0
0.58,0.07746229,P,M,3,0
0.21,0.19596097,N,N,0,1
-0.51,0.2668193,E,O,10,0
0.49,-0.27121595,P,H,8,0
-0.51,-0.2678657,E,H,3,0
0.16,-0.11273051,N,K,3,0
0.56,0.19583113,P,N,2,0
0.63,0.112770356,Q,N,3,0
-0.44,-0.14424819,F,J,4,0
-0.21,-0.16139938,I,J,1,0
-0.19,-0.091520436,I,K,2,0
0.16,-0.023509294,N,L,2,0
-0.25,0.10178436,H,N,6,0
0.58,0.10965798,P,N,2,0
-0.18,-0.25919294,I,H,1,0
-0.11,-0.14505024,K,J,1,0
-0.11,-0.051229842,K,L,1,0
0.04,0.039961882,M,M,0,1
-0.04,0.061935633,L,M,1,0
0.18,0.29089215,N,O,1,0
-0.46,-0.2141585,E,I,4,0
-0.3,-0.26872632,G,H,1,0
-0.3,-0.044643577,G,L,5,0
-0.11,-0.019103393,K,L,1,0
0.6,0.14050746,P,N,2,0
0.6,0.2992308,P,O,1,0
-0.39,-0.26764295,F,H,2,0
-0.26,-0.2029687,H,I,1,0
0.37,-0.056942478,O,L,3,0
-0.56,0.03831374,E,M,8,0
0.56,0.18024525,P,N,2,0
-0.19,0.14444354,I,N,5,0
-0.3,-0.1632182,G,J,3,0
0.09,-0.058749415,N,L,2,0
-0.4,-0.105988525,F,K,5,0
-0.14,-0.081413016,J,K,1,0
0.42,0.20211695,P,N,2,0
0.37,0.3172349,O,O,0,1
-0.32,-0.3172246,G,G,0,1
-0.09,-0.13546541,K,J,1,0
-0.05,-0.06883716,L,L,0,1
-0.02,0.049915582,L,M,1,0
0.39,0.1516465,P,N,2,0
0.46,0.10469741,P,N,2,0
0.09,-0.105533436,N,K,3,0
-0.35,-0.15775372,G,J,3,0
-0.55,-0.069634296,E,L,7,0
0.58,0.07093195,P,M,3,0
0.21,0.1971397,N,N,0,1
-0.51,0.2553642,E,O,10,0
0.49,-0.29374743,P,G,9,0
-0.51,-0.31231666,E,G,2,0
-0.02,-0.21389824,L,I,3,0
0.56,0.16670944,P,N,2,0
0.63,0.09934874,Q,N,3,0
-0.44,-0.15354764,F,J,4,0
-0.21,-0.16305488,I,J,1,0
-0.19,-0.09238379,I,K,2,0
0.16,-0.0078085735,N,L,2,0
-0.25,0.10514122,H,N,6,0
0.58,0.09665584,P,N,2,0
-0.18,-0.25438923,I,H,1,0
-0.11,-0.13462017,K,J,1,0
-0.11,-0.03814452,K,L,1,0
0.04,0.029416181,M,M,0,1
-0.04,0.06379597,L,M,1,0
0.18,0.2860813,N,O,1,0
-0.46,-0.1953897,E,I,4,0
-0.3,-0.2540405,G,H,1,0
-0.3,-0.038949836,G,L,5,0
-0.11,-0.016700305,K,L,1,0
0.6,0.14245,P,N,2,0
0.6,0.29220447,P,O,1,0
-0.39,-0.26934367,F,H,2,0
-0.26,-0.20622975,H,I,1,0
0.37,-0.033395946,O,L,3,0
-0.56,0.028130494,E,M,8,0
0.56,0.17801417,P,N,2,0
-0.19,0.108670555,I,N,5,0
-0.3,-0.17602459,G,I,2,0
0.09,-0.064221516,N,L,2,0
-0.4,-0.09776373,F,K,5,0
-0.14,-0.0737523,J,K,1,0
0.42,0.21476325,P,O,1,0
0.37,0.31255335,O,O,0,1
-0.32,-0.3283071,G,G,0,1
-0.09,-0.13542339,K,J,1,0
-0.05,-0.06815392,L,L,0,1
-0.02,0.040553913,L,M,1,0
0.39,0.16248365,P,N,2,0
0.46,0.108094014,P,N,2,0
0.09,-0.11009727,N,K,3,0
-0.35,-0.17785102,G,I,2,0
-0.55,-0.06676993,E,L,7,0
0.58,0.07962101,P,M,3,0
0.21,0.20517592,N,N,0,1
-0.51,0.23900263,E,O,10,0
0.49,-0.28626105,P,G,9,0
-0.51,-0.32796872,E,G,2,0
-0.02,-0.20742238,L,I,3,0
0.26,-0.09717611,O,K,4,0
0.63,0.06925284,Q,M,4,0
-0.44,-0.17584667,F,I,3,0
-0.21,-0.18675902,I,I,0,1
-0.19,-0.10735327,I,K,2,0
0.16,-0.0048442967,N,L,2,0
-0.25,0.13987118,H,N,6,0
0.58,0.08295885,P,M,3,0
-0.18,-0.26237503,I,H,1,0
-0.11,-0.11426583,K,K,0,1
-0.11,-0.028800346,K,L,1,0
0.04,0.035368502,M,M,0,1
-0.04,0.09551127,L,N,2,0
0.18,0.26553586,N,O,1,0
-0.46,-0.20893645,E,I,4,0
-0.3,-0.25326145,G,H,1,0
-0.3,-0.041137412,G,L,5,0
-0.11,0.0020407885,K,M,2,0
0.6,0.14402214,P,N,2,0
0.6,0.28839824,P,O,1,0
-0.39,-0.29135516,F,G,1,0
-0.26,-0.20700614,H,I,1,0
0.37,-0.041298725,O,L,3,0
-0.56,0.011249036,E,M,8,0
0.56,0.17393085,P,N,2,0
-0.19,0.13963892,I,N,5,0
-0.3,-0.1987162,G,I,2,0
0.09,-0.099491,N,K,3,0
-0.4,-0.13446921,F,J,4,0
-0.14,-0.041636012,J,L,2,0
0.42,0.25750497,P,O,1,0
0.37,0.3130855,O,O,0,1
-0.32,-0.34935412,G,G,0,1
-0.09,-0.13626966,K,J,1,0
-0.05,-0.07295058,L,K,1,0
-0.02,0.036449164,L,M,1,0
0.39,0.16916054,P,N,2,0
0.46,0.11336455,P,N,2,0
0.09,-0.12151516,N,K,3,0
-0.35,-0.18783009,G,I,2,0
-0.55,-0.07655467,E,K,6,0
0.58,0.08862352,P,N,2,0
0.21,0.1909039,N,N,0,1
-0.51,0.22709817,E,O,10,0
0.49,-0.28003657,P,H,8,0
-0.51,-0.32398647,E,G,2,0
-0.02,-0.20871297,L,I,3,0
0.26,-0.106623255,O,K,4,0
0.07,0.20611016,M,N,1,0
-0.44,-0.20424628,F,I,3,0
-0.21,-0.20121565,I,I,0,1
-0.19,-0.13035198,I,J,1,0
0.16,-0.034122504,N,L,2,0
-0.25,0.11950124,H,N,6,0
0.58,0.08811304,P,N,2,0
-0.18,-0.27651182,I,H,1,0
-0.11,-0.14496548,K,J,1,0
-0.11,-0.03503526,K,L,1,0
0.04,-0.003504619,M,L,1,0
-0.04,0.0695118,L,M,1,0
0.18,0.23132768,N,O,1,0
-0.46,-0.21194327,E,I,4,0
-0.3,-0.27595985,G,H,1,0
-0.3,-0.043012828,G,L,5,0
-0.11,-0.02107849,K,L,1,0
0.6,0.12402651,P,N,2,0
0.6,0.2644592,P,O,1,0
-0.39,-0.26976115,F,H,2,0
-0.26,-0.19688034,H,I,1,0
0.37,-0.0474723,O,L,3,0
-0.56,-0.021736838,E,L,7,0
0.56,0.15520805,P,N,2,0
-0.19,0.08735781,I,M,4,0
-0.3,-0.19278671,G,I,2,0
0.09,-0.10435996,N,K,3,0
-0.4,-0.10100704,F,K,5,0
-0.14,-0.012771517,J,L,2,0
0.42,0.253471,P,O,1,0
0.37,0.30375862,O,O,0,1
-0.32,-0.3690834,G,F,1,0
-0.09,-0.13969456,K,J,1,0
-0.05,-0.06952585,L,L,0,1
-0.02,0.026162937,L,M,1,0
0.39,0.1688349,P,N,2,0
0.46,0.1086429,P,N,2,0
0.09,-0.12546991,N,J,4,0
-0.35,-0.19913171,G,I,2,0
-0.55,-0.08024917,E,K,6,0
0.58,0.06294804,P,M,3,0
0.21,0.1675902,N,N,0,1
-0.51,0.23465289,E,O,10,0
0.49,-0.25469077,P,H,8,0
-0.51,-0.33039206,E,G,2,0
-0.02,-0.22634679,L,H,4,0
0.26,-0.116486266,O,K,4,0
0.07,0.18879813,M,N,1,0
0.12,0.23060407,N,O,1,0
-0.21,-0.21101788,I,I,0,1
-0.19,-0.12397901,I,K,2,0
0.16,0.0028289035,N,M,1,0
-0.25,0.14914732,H,N,6,0
0.58,0.13602567,P,N,2,0
-0.18,-0.31106678,I,G,2,0
-0.11,-0.13801241,K,J,1,0
-0.11,-0.04332573,K,L,1,0
0.04,-0.0065836683,M,L,1,0
-0.04,0.08733029,L,M,1,0
0.18,0.21736374,N,O,1,0
-0.46,-0.22480823,E,H,3,0
-0.3,-0.26099694,G,H,1,0
-0.3,-0.05711768,G,L,5,0
-0.11,-0.03514719,K,L,1,0
0.6,0.12899011,P,N,2,0
0.6,0.27274698,P,O,1,0
-0.39,-0.27147907,F,H,2,0
-0.26,-0.19756028,H,I,1,0
0.37,-0.049608,O,L,3,0
-0.56,-0.024584644,E,L,7,0
0.56,0.19246951,P,N,2,0
-0.19,0.096075416,I,N,5,0
-0.3,-0.17652994,G,I,2,0
0.09,-0.117360085,N,K,3,0
-0.4,-0.10200941,F,K,5,0
-0.14,-0.044619076,J,L,2,0
0.42,0.25377917,P,O,1,0
0.37,0.29761147,O,O,0,1
-0.32,-0.38573435,G,F,1,0
-0.09,-0.14428681,K,J,1,0
-0.05,-0.06641541,L,L,0,1
-0.02,0.024739176,L,M,1,0
0.39,0.18116668,P,N,2,0
0.46,0.09708451,P,N,2,0
0.09,-0.1394858,N,J,4,0
-0.35,-0.20590602,G,I,2,0
-0.55,-0.079866685,E,K,6,0
0.58,0.05844502,P,M,3,0
0.21,0.20737422,N,N,0,1
-0.51,0.25415707,E,O,10,0
0.49,-0.29382566,P,G,9,0
-0.51,-0.29503354,E,G,2,0
-0.02,-0.1775025,L,I,3,0
0.26,-0.100092575,O,K,4,0
0.07,0.20170565,M,N,1,0
0.12,0.25086147,N,O,1,0
-0.02,-0.20235246,L,I,3,0
-0.19,-0.13916633,I,J,1,0
0.16,-0.014335908,N,L,2,0
-0.25,0.15100148,H,N,6,0
0.58,0.14359483,P,N,2,0
-0.18,-0.31022632,I,G,2,0
-0.11,-0.16098522,K,J,1,0
-0.11,-0.040084258,K,L,1,0
0.04,-0.014727227,M,L,1,0
-0.04,0.07675503,L,M,1,0
0.18,0.2159153,N,O,1,0
-0.46,-0.22600749,E,H,3,0
-0.3,-0.2450287,G,H,1,0
-0.3,-0.05849552,G,L,5,0
-0.11,-0.037307277,K,L,1,0
0.6,0.12915997,P,N,2,0
0.6,0.28234792,P,O,1,0
-0.39,-0.26445442,F,H,2,0
-0.26,-0.18892051,H,I,1,0
0.37,-0.056486934,O,L,3,0
-0.56,-0.017473489,E,L,7,0
0.56,0.22774304,P,O,1,0
-0.19,0.10103671,I,N,5,0
-0.3,-0.19725999,G,I,2,0
0.09,-0.117052905,N,K,3,0
-0.4,-0.08680187,F,K,5,0
-0.14,0.0008837655,J,M,3,0
0.42,0.3010597,P,O,1,0
0.37,0.29919764,O,O,0,1
-0.32,-0.41598225,G,F,1,0
-0.09,-0.16088663,K,J,1,0
-0.05,-0.06306971,L,L,0,1
-0.02,0.028117388,L,M,1,0
0.39,0.1744513,P,N,2,0
0.46,0.12423875,P,N,2,0
0.09,-0.15355277,N,J,4,0
-0.35,-0.21009442,G,I,2,0
-0.55,-0.09661943,E,K,6,0
0.58,0.06763729,P,M,3,0
0.21,0.18809968,N,N,0,1
-0.51,0.29825646,E,O,10,0
0.49,-0.24719186,P,H,8,0
-0.51,-0.28180227,E,G,2,0
-0.02,-0.1538839,L,J,2,0
0.26,-0.07140949,O,K,4,0
0.07,0.25441,M,O,2,0
0.12,0.27343333,N,O,1,0
-0.02,-0.19646329,L,I,3,0
0.02,-0.13726301,M,J,3,0
0.16,-0.01978957,N,L,2,0
-0.25,0.13566463,H,N,6,0
0.58,0.16740966,P,N,2,0
-0.18,-0.31070456,I,G,2,0
-0.11,-0.16969308,K,J,1,0
-0.11,-0.044007674,K,L,1,0
0.04,-0.0017622672,M,M,0,1
-0.04,0.07447302,L,M,1,0
0.18,0.20779307,N,N,0,1
-0.46,-0.24268338,E,H,3,0
-0.3,-0.22242227,G,I,2,0
-0.3,-0.05244282,G,L,5,0
-0.11,-0.036148183,K,L,1,0
0.6,0.12754464,P,N,2,0
0.6,0.29004318,P,O,1,0
-0.39,-0.26169157,F,H,2,0
-0.26,-0.17626421,H,I,1,0
0.37,-0.05739969,O,L,3,0
-0.56,-0.010927372,E,L,7,0
0.56,0.24846801,P,O,1,0
-0.19,0.12635258,I,N,5,0
-0.3,-0.18992715,G,I,2,0
0.09,-0.13309953,N,J,4,0
-0.4,-0.09254723,F,K,5,0
-0.14,-0.099224575,J,K,1,0
0.42,0.27890044,P,O,1,0
0.37,0.30666044,O,O,0,1
-0.32,-0.3748266,G,F,1,0
-0.09,-0.15082833,K,J,1,0
-0.05,-0.058602326,L,L,0,1
-0.02,0.031972364,L,M,1,0
0.39,0.17729682,P,N,2,0
0.46,0.12414098,P,N,2,0
0.09,-0.17205076,N,J,4,0
-0.35,-0.21496207,G,I,2,0
-0.55,-0.10985732,E,K,6,0
0.58,0.04986748,P,M,3,0
0.21,0.17375474,N,N,0,1
-0.51,0.30589294,E,O,10,0
0.49,-0.27736273,P,H,8,0
-0.51,-0.30706674,E,G,2,0
-0.02,-0.18113786,L,I,3,0
0.26,-0.065489136,O,L,3,0
0.07,0.25429913,M,O,2,0
0.12,0.26566437,N,O,1,0
-0.02,-0.22698952,L,H,4,0
0.02,-0.18532312,M,I,4,0
0.02,-0.16169825,M,J,3,0
-0.25,0.120907895,H,N,6,0
0.58,0.15907687,P,N,2,0
-0.18,-0.32276624,I,G,2,0
-0.11,-0.18292691,K,I,2,0
-0.11,-0.046205133,K,L,1,0
0.04,0.0038736798,M,M,0,1
-0.04,0.06132561,L,M,1,0
0.18,0.1877931,N,N,0,1
-0.46,-0.24219014,E,H,3,0
-0.3,-0.20959482,G,I,2,0
-0.3,-0.04434169,G,L,5,0
-0.11,-0.042387187,K,L,1,0
0.6,0.12498951,P,N,2,0
0.6,0.2862784,P,O,1,0
-0.39,-0.2591071,F,H,2,0
-0.26,-0.16660693,H,J,2,0
0.37,-0.05711104,O,L,3,0
-0.56,-0.017856956,E,L,7,0
0.56,0.24885471,P,O,1,0
-0.19,0.14034949,I,N,5,0
-0.3,-0.17969161,G,I,2,0
0.09,-0.1491284,N,J,4,0
-0.4,-0.09430815,F,K,5,0
-0.14,-0.064276084,J,L,2,0
0.42,0.28483737,P,O,1,0
0.37,0.29752526,O,O,0,1
-0.32,-0.40530908,G,F,1,0
-0.09,-0.16595581,K,J,1,0
-0.05,-0.05532284,L,L,0,1
-0.02,0.036480576,L,M,1,0
0.39,0.18640295,P,N,2,0
0.46,0.13360897,P,N,2,0
0.09,-0.18061206,N,I,5,0
-0.35,-0.21897209,G,I,2,0
-0.55,-0.113830075,E,K,6,0
0.58,0.041264743,P,M,3,0
0.21,0.17236748,N,N,0,1
-0.51,0.2958322,E,O,10,0
0.49,-0.27523214,P,H,8,0
-0.51,-0.3063863,E,G,2,0
-0.02,-0.17072709,L,J,2,0
0.26,-0.061393544,O,L,3,0
0.07,0.24620247,M,O,2,0
0.12,0.24678648,N,O,1,0
-0.02,-0.20572853,L,I,3,0
0.02,-0.19336763,M,I,4,0
0.02,-0.15425506,M,J,3,0
-0.16,0.041235767,J,M,3,0
0.58,0.13050386,P,N,2,0
-0.18,-0.32522714,I,G,2,0
-0.11,-0.18292248,K,I,2,0
-0.11,-0.040474005,K,L,1,0
0.04,0.0053463914,M,M,0,1
-0.04,0.04100776,L,M,1,0
